"","Sample.1","SYMBOL"
"1","ENSG00000198074","AKR1B10"
"2","ENSG00000104435","STMN2"
"3","ENSG00000101210","EEF1A2"
"4","ENSG00000115380","EFEMP1"
"5","ENSG00000079931","MOXD1"
"6","ENSG00000154096","THY1"
"7","ENSG00000108244","KRT23"
"9","ENSG00000139329","LUM"
"10","ENSG00000115009","CCL20"
"11","ENSG00000169429","CXCL8"
"12","ENSG00000124875","CXCL6"
"13","ENSG00000112562","SMOC2"
"16","ENSG00000078098","FAP"
"17","ENSG00000095970","TREM2"
"19","ENSG00000186340","THBS2"
"20","ENSG00000147257","GPC3"
"21","ENSG00000198542","ITGBL1"
"23","ENSG00000129038","LOXL1"
"24","ENSG00000006327","TNFRSF12A"
"25","ENSG00000162366","PDZK1IP1"
"26","ENSG00000107317","PTGDS"
"27","ENSG00000175445","LPL"
"28","ENSG00000154654","NCAM2"
"30","ENSG00000074410","CA12"
"31","ENSG00000272398","CD24"
"32","ENSG00000163739","CXCL1"
"34","ENSG00000164694","FNDC1"
"35","ENSG00000164176","EDIL3"
"36","ENSG00000088882","CPXM1"
"37","ENSG00000187545","PRAMEF10"
"38","ENSG00000170323","FABP4"
"39","ENSG00000106624","AEBP1"
"42","ENSG00000164484","TMEM200A"
"43","ENSG00000164692","COL1A2"
"45","ENSG00000148677","ANKRD1"
"46","ENSG00000134258","VTCN1"
"47","ENSG00000112936","C7"
"48","ENSG00000119681","LTBP2"
"50","ENSG00000108691","CCL2"
"51","ENSG00000164949","GEM"
"52","ENSG00000168398","BDKRB2"
"53","ENSG00000050165","DKK3"
"55","ENSG00000169442","CD52"
"56","ENSG00000183715","OPCML"
"57","ENSG00000197956","S100A6"
"59","ENSG00000108821","COL1A1"
"60","ENSG00000102265","TIMP1"
"62","ENSG00000138131","LOXL4"
"66","ENSG00000050555","LAMC3"
"68","ENSG00000146038","DCDC2"
"69","ENSG00000163453","IGFBP7"
"70","ENSG00000087245","MMP2"
"71","ENSG00000148346","LCN2"
"74","ENSG00000143196","DPT"
"75","ENSG00000172724","CCL19"
"76","ENSG00000135480","KRT7"
"77","ENSG00000152137","HSPB8"
"78","ENSG00000133636","NTS"
"79","ENSG00000133985","TTC9"
"80","ENSG00000124766","SOX4"
"82","ENSG00000182718","ANXA2"
"83","ENSG00000134769","DTNA"
"84","ENSG00000076716","GPC4"
"85","ENSG00000125398","SOX9"
"86","ENSG00000187498","COL4A1"
"87","ENSG00000150337","FCGR1A"
"88","ENSG00000117152","RGS4"
"89","ENSG00000143867","OSR1"
"90","ENSG00000042493","CAPG"
"92","ENSG00000154553","PDLIM3"
"95","ENSG00000168542","COL3A1"
"96","ENSG00000140937","CDH11"
"97","ENSG00000253368","TRNP1"
"98","ENSG00000044524","EPHA3"
"99","ENSG00000187288","CIDEC"
"100","ENSG00000109610","SOD3"
"101","ENSG00000131080","EDA2R"
"102","ENSG00000119888","EPCAM"
"103","ENSG00000122861","PLAU"
"104","ENSG00000166482","MFAP4"
"106","ENSG00000129538","RNASE1"
"107","ENSG00000183496","MEX3B"
"108","ENSG00000113657","DPYSL3"
"111","ENSG00000169604","ANTXR1"
"112","ENSG00000092969","TGFB2"
"113","ENSG00000121966","CXCR4"
"116","ENSG00000015413","DPEP1"
"117","ENSG00000130635","COL5A1"
"118","ENSG00000131711","MAP1B"
"119","ENSG00000180828","BHLHE22"
"120","ENSG00000182836","PLCXD3"
"123","ENSG00000137801","THBS1"
"125","ENSG00000108602","ALDH3A1"
"126","ENSG00000005102","MEOX1"
"127","ENSG00000187955","COL14A1"
"128","ENSG00000162745","OLFML2B"
"129","ENSG00000164687","FABP5"
"130","ENSG00000196569","LAMA2"
"132","ENSG00000170381","SEMA3E"
"134","ENSG00000162391","FAM151A"
"137","ENSG00000184313","MROH7"
"138","ENSG00000163191","S100A11"
"140","ENSG00000183230","CTNNA3"
"141","ENSG00000140092","FBLN5"
"143","ENSG00000134873","CLDN10"
"144","ENSG00000168743","NPNT"
"145","ENSG00000186919","ZACN"
"147","ENSG00000140835","CHST4"
"148","ENSG00000113361","CDH6"
"149","ENSG00000008517","IL32"
"151","ENSG00000026025","VIM"
"154","ENSG00000174348","PODN"
"155","ENSG00000213977","TAX1BP3"
"156","ENSG00000235162","C12orf75"
"157","ENSG00000110799","VWF"
"158","ENSG00000138135","CH25H"
"159","ENSG00000106633","GCK"
"161","ENSG00000079215","SLC1A3"
"162","ENSG00000070404","FSTL3"
"163","ENSG00000172201","ID4"
"164","ENSG00000154080","CHST9"
"165","ENSG00000143839","REN"
"170","ENSG00000141934","PLPP2"
"171","ENSG00000177511","ST8SIA3"
"172","ENSG00000100505","TRIM9"
"173","ENSG00000178695","KCTD12"
"174","ENSG00000134871","COL4A2"
"175","ENSG00000165841","CYP2C19"
"177","ENSG00000183856","IQGAP3"
"178","ENSG00000175857","GAPT"
"179","ENSG00000131747","TOP2A"
"180","ENSG00000084207","GSTP1"
"181","ENSG00000117525","F3"
"182","ENSG00000158258","CLSTN2"
"183","ENSG00000099994","SUSD2"
"187","ENSG00000011465","DCN"
"188","ENSG00000135046","ANXA1"
"189","ENSG00000125144","MT1G"
"191","ENSG00000143476","DTL"
"193","ENSG00000106483","SFRP4"
"194","ENSG00000079257","LXN"
"195","ENSG00000203805","PLPP4"
"199","ENSG00000137331","IER3"
"200","ENSG00000178343","SHISA3"
"201","ENSG00000109956","B3GAT1"
