"","x"
"X0869",-6.88122117246304
"X0872",-8.40776362386376
"X0873",-10.0443897247743
"X0874",-5.34278626584656
"X0875",-6.53961075909383
"X0876",-9.72708690257858
"X0877",-4.63318545268051
"X0878",-2.29947419850295
"X0879",-10.5826334369524
"X0881",-7.27298975167398
"X0883",-10.4392651207207
"X0885",-5.43302897268403
"X0886",-4.62247996923087
"X0887",-9.45804502973499
"X0888",-6.61328916077134
"X0889",-8.55435488368581
"X0890",-11.5772311705515
"X0891",-8.92600846213239
"X0892",-6.96093995499804
"X0893",-6.58796042179638
"X0894",-12.6304267082114
"X0896",-8.81033905204337
"X0897",-6.05001907665535
"X0898",-3.3768852506485
"X0899",-5.90614308459518
"X0910",-10.2023648858902
"X2683",4.3252430345904
"X2684",7.22722461881002
"X2685",3.77987779921284
"X2687",9.75166858748865
"X2688",7.06729496878551
"X2689",2.58658232579802
"X2691",1.13999520782181
"X2692",10.3380379518595
"X2693",-7.36338706312244
"X2696",3.74777073735248
"X2697",3.66841686101967
"X2698",3.63442647385834
"X2701",2.02139656266164
"X2703",2.90371955741041
"X2704",11.2237060995171
"X2705",9.20554155911961
"X3992",10.6869704820583
"X3993",-3.89941284849863
"X3994",17.1116121965646
"X3995",0.498615079341297
"X3996",22.3735408697766
"X3997",12.1168020888872
"X3998",12.0271423268965
"X4000",7.93103642885533
"X4002",-0.243688584232856
"X4004",6.30532310492537
"X4005",18.5698950551744
"X4006",4.30282059606205
"X4007",2.43154120289413
"X4008",10.3097242816212
"X4010",2.10048493027103
